"","trial_id","node3","full","noAct","noInf","noSelect","noActnoInf","noActnoSelect","noInfnoSelect","noActnoInfnoSelect","n","prop","pgroup","Actual","A","B","E","include"
"114","2_d2","Bu=1",0.0417912147211433,0.0461158952972352,0.135401258852798,0.0219517780130284,0.0395541333017754,0.0183705031919815,0.0595154156464479,0.215360111904846,7,0.0736842105263158,2,FALSE,0,1,0,TRUE
"115","2_d3","A=0",0.0394511284350959,0.0399055118601373,0.0307171367848971,0.0287118543212879,0.0386576288285103,0.0183705031919815,0.0650767557893124,0.0752336032534557,2,0.0196078431372549,2,FALSE,0,1,1,TRUE
"116","2_d3","Au=0",0.0394511284350959,0.040914776033424,0.0307171367848971,0.0287118543212879,0.0401814485835118,0.255130042617378,0.0650767557893124,0.245617577654837,1,0.00980392156862745,2,FALSE,0,1,1,TRUE
"117","2_d3","Au=1",0.0394511284350959,0.0429295703824111,0.0307171367848971,0.0287118543212879,0.0439557796648004,0.0246082717108191,0.0650767557893124,0.0858037044367967,2,0.0196078431372549,2,FALSE,0,1,1,TRUE
"118","2_d3","B=1",0.632177097909291,0.620152378315857,0.696560334165739,0.442576291357424,0.653651798477864,0.34176033964392,0.439655641833262,0.280126128833389,10,0.0980392156862745,2,TRUE,0,1,1,TRUE
"119","2_d3","Bu=0",0.0394511284350959,0.0424219478054724,0.0307171367848971,0.0287118543212879,0.021965132597865,0.0183705031919815,0.0650767557893124,0.0978588739166763,1,0.00980392156862745,2,FALSE,0,1,1,TRUE
"120","2_d3","Bu=1",0.210018388350325,0.213675815602699,0.180571118694672,0.442576291357424,0.201588211847449,0.34176033964392,0.300037335009488,0.215360111904846,85,0.833333333333333,2,TRUE,0,1,1,TRUE
"121","2_d4","A=1",0.0468534860361923,0.0460908290203994,0.0298116517472982,0.0281238689463195,0.0317363252852124,0.0194667787317915,0.0595154156464479,0.0752336032534557,6,0.0540540540540541,2,FALSE,1,0,0,TRUE
"122","2_d4","Au=0",0.171671080276701,0.177579868032411,0.140108309591598,0.433512843775322,0.16300137564366,0.362155181141367,0.332160168088145,0.245617577654837,60,0.540540540540541,2,TRUE,1,0,0,TRUE
"123","2_d4","Au=1",0.0468534860361923,0.0505943815233547,0.0298116517472982,0.0281238689463195,0.0322495640619177,0.0194667787317915,0.0595154156464479,0.0858037044367967,4,0.036036036036036,2,FALSE,1,0,0,TRUE
"124","2_d4","B=0",0.632018141654196,0.626171932931967,0.73361946720802,0.433512843775322,0.689759405115935,0.362155181141367,0.402083477389783,0.280126128833389,36,0.324324324324324,2,TRUE,1,0,0,TRUE
"125","2_d4","Bu=0",0.0557503199605259,0.0598561713614038,0.0368372679584873,0.0486027056103981,0.0508926159063175,0.0349312570467178,0.0872101075827278,0.0978588739166763,4,0.036036036036036,2,TRUE,1,0,0,TRUE
"126","2_d4","Bu=1",0.0468534860361923,0.0397068171304645,0.0298116517472982,0.0281238689463195,0.032360713986958,0.201824823206965,0.0595154156464479,0.215360111904846,0,0,2,FALSE,1,0,0,TRUE
"127","2_d5","A=1",0.257980997350638,0.265347421196947,0.206411389419354,0.442576291357424,0.261636178137364,0.362155181141367,0.564573964979422,0.280126128833389,7,0.0707070707070707,2,TRUE,1,0,1,TRUE
"128","2_d5","Au=0",0.0509141466352202,0.055257205535594,0.147877108278897,0.0287118543212879,0.0512848720265353,0.0194667787317915,0.0835668613071122,0.245617577654837,1,0.0101010101010101,2,FALSE,1,0,1,TRUE
"129","2_d5","Au=1",0.538362416108481,0.540416546004546,0.202080177465056,0.442576291357424,0.256845947287741,0.362155181141367,0.101158589792129,0.0858037044367967,82,0.828282828282828,2,TRUE,1,0,1,TRUE
"130","2_d5","B=0",0.0509141466352202,0.0262098699928692,0.147877108278897,0.0287118543212879,0.0119335879398414,0.0194667787317915,0.0835668613071122,0.0752336032534557,7,0.0707070707070707,2,FALSE,1,0,1,TRUE
