"","trial_id","pgroup","trialtype","node3","n","prop","full","noAct","noInf","noSelect","noActnoInf","noActnoSelect","noInfnoSelect","noActnoInfnoSelect","Actual"
"136","2_c5","2","c5","Bu=1",34,0.395348837209302,0.249479103010961,0.249479103010961,0.046308029130601,1,0.046308029130601,1,0.8,0.8,TRUE
"137","2_d1","2","d1","A=0",20,0.224719101123595,0.0850729241331937,0.0850729241331937,0.0850729241331937,1,0.0850729241331937,1,1,1,TRUE
"138","2_d1","2","d1","A=1",2,0.0224719101123595,0,0,0,NA,0,NA,NA,NA,NA
"139","2_d1","2","d1","Au=0",3,0.0337078651685393,0.0659906148888914,0.0659906148888914,0.0659906148888914,0.9,0.0659906148888914,0.9,0.9,0.9,TRUE
"140","2_d1","2","d1","Au=1",0,0,0,-0.0145293778356654,0,0,-0.0145293778356654,0.1,0,0.1,FALSE
"141","2_d1","2","d1","B=0",52,0.584269662921348,0.822470602565974,0.822470602565974,0.822470602565974,1,0.822470602565974,1,1,1,TRUE
"142","2_d1","2","d1","B=1",2,0.0224719101123595,0,0,0,NA,0,NA,NA,NA,NA
"143","2_d1","2","d1","Bu=0",8,0.0898876404494382,0.0616551730824739,0.0616551730824739,0.0616551730824739,0.2,0.0616551730824739,0.2,0.2,0.2,TRUE
"144","2_d1","2","d1","Bu=1",2,0.0224719101123595,0,-0.0785987436578702,0,0,-0.0785987436578702,0.8,0,0.8,FALSE
"145","2_d2","2","d2","A=0",21,0.221052631578947,0.0638456184263297,0.0638456184263297,0.0291791910897968,1,0.0291791910897968,1,1,1,TRUE
"146","2_d2","2","d2","A=1",0,0,0,0,0,NA,0,NA,NA,NA,NA
"147","2_d2","2","d2","Au=0",7,0.0736842105263158,0.0443529729707329,0.0443529729707329,0.0175728350219585,0.9,0.0175728350219585,0.9,0.9,0.9,TRUE
"148","2_d2","2","d2","Au=1",0,0,0,-0.0115219525471551,0,0,-0.00502938380173447,0.1,0,0.1,FALSE
"149","2_d2","2","d2","B=0",1,0.0105263157894737,0,0,0,NA,0,NA,NA,NA,NA
"150","2_d2","2","d2","B=1",4,0.0421052631578947,0,-0.206035990862505,0,0,-0.704894237131401,0,0,0,FALSE
"151","2_d2","2","d2","Bu=0",55,0.578947368421053,0.872819252056639,0.872819252056639,0.174563850411328,1,0.174563850411328,1,0.2,0.2,TRUE
"152","2_d2","2","d2","Bu=1",7,0.0736842105263158,0,0,0,0,-0.39945212701445,0,0,0.8,FALSE
"153","2_d3","2","d3","A=0",2,0.0196078431372549,0,-0.0189082167113976,0,0,-0.0280001505130429,0,0,0,FALSE
"154","2_d3","2","d3","A=1",1,0.00980392156862745,0,0,0,NA,0,NA,NA,NA,NA
"155","2_d3","2","d3","Au=0",1,0.00980392156862745,0,-0.0111853037690157,0,0,-0.0179821865978482,0.9,0,0.9,FALSE
"156","2_d3","2","d3","Au=1",2,0.0196078431372549,0,0.0036779760613243,0,0,0.00528139998412662,0.1,0,0.1,FALSE
"157","2_d3","2","d3","B=0",0,0,0,0,0,NA,0,NA,NA,NA,NA
"158","2_d3","2","d3","B=1",10,0.0980392156862745,0.829375778677761,0.829375778677761,0.704751337624993,1,0.704751337624993,1,1,1,TRUE
"159","2_d3","2","d3","Bu=0",1,0.00980392156862745,0,0,0,0,-0.174478332844217,0,0,0.2,FALSE
"160","2_d3","2","d3","Bu=1",85,0.833333333333333,0.49991805757539,0.49991805757539,0.399934446060312,1,0.399934446060312,1,0.8,0.8,TRUE
"161","2_d4","2","d4","A=0",1,0.00900900900900901,0,0,0,NA,0,NA,NA,NA,NA
"162","2_d4","2","d4","A=1",6,0.0540540540540541,0,-0.0288259525008442,0,0,-0.0745930231937488,0,0,0,FALSE
"163","2_d4","2","d4","Au=0",60,0.540540540540541,0.38822944390725,0.38822944390725,0.349406499516525,1,0.349406499516525,1,0.9,0.9,TRUE
"164","2_d4","2","d4","Au=1",4,0.036036036036036,0,0,0,0,-0.0704360438007455,0,0,0.1,FALSE
"165","2_d4","2","d4","B=0",36,0.324324324324324,0.777888824006953,0.777888824006953,0.723210964801757,1,0.723210964801757,1,1,1,TRUE
"166","2_d4","2","d4","B=1",0,0,0,0,0,NA,0,NA,NA,NA,NA
"167","2_d4","2","d4","Bu=0",4,0.036036036036036,0.0519783117681532,0.0519783117681532,0.0477785976358642,0.2,0.0477785976358642,0.2,0.2,0.2,TRUE
"168","2_d4","2","d4","Bu=1",0,0,0,-0.0749254121607683,0,0,-0.0695445028433939,0.8,0,0.8,FALSE
"169","2_d5","2","d5","A=0",1,0.0101010101010101,0,0,0,NA,0,NA,NA,NA,NA
"170","2_d5","2","d5","A=1",7,0.0707070707070707,0.485152710414963,0.485152710414963,0.0752970643946327,1,0.0752970643946327,1,1,1,TRUE
"171","2_d5","2","d5","Au=0",1,0.0101010101010101,0,0,0,0,-0.346956597139402,0,0,0.9,FALSE
"172","2_d5","2","d5","Au=1",82,0.828282828282828,0.705089080933311,0.705089080933311,0.0705089080933311,1,0.0705089080933311,1,0.1,0.1,TRUE
"173","2_d5","2","d5","B=0",7,0.0707070707070707,0,-0.230623196395297,0,0,-0.724765697887274,0,0,0,FALSE
"174","2_d5","2","d5","B=1",0,0,0,0,0,NA,0,NA,NA,NA,NA
"175","2_d5","2","d5","Bu=0",1,0.0101010101010101,0,-0.0104134445025241,0,0,-0.04817773229385,0.2,0,0.2,FALSE
"176","2_d5","2","d5","Bu=1",0,0,0,0.0220505438658888,0,0,0.0694898494907037,0.8,0,0.8,FALSE
"177","2_d6","2","d6","A=0",1,0.0117647058823529,0,0,0,NA,0,NA,NA,NA,NA
"178","2_d6","2","d6","A=1",1,0.0117647058823529,0,-0.0188867200516921,0,0,-0.0326912974373872,0,0,0,FALSE
"179","2_d6","2","d6","Au=0",41,0.482352941176471,0.276696708835207,0.276696708835207,0.102785887151683,1,0.102785887151683,1,0.9,0.9,TRUE
"180","2_d6","2","d6","Au=1",1,0.0117647058823529,0,0,0,0,-0.0357420150718501,0,0,0.1,FALSE
"181","2_d6","2","d6","B=0",1,0.0117647058823529,0,0,0,NA,0,NA,NA,NA,NA
"182","2_d6","2","d6","B=1",4,0.0470588235294118,0,-0.200049889969472,0,0,-0.669617557563137,0,0,0,FALSE
"183","2_d6","2","d6","Bu=0",33,0.388235294117647,0.847628047475179,0.847628047475179,0.158578728725552,1,0.158578728725552,1,0.2,0.2,TRUE
"184","2_d6","2","d6","Bu=1",3,0.0352941176470588,0,0,0,0,-0.380259748372106,0,0,0.8,FALSE
"185","2_d7","2","d7","A=0",0,0,0,0,0,NA,0,NA,NA,NA,NA
"186","2_d7","2","d7","A=1",4,0.0408163265306122,0.0354835376513779,0.0354835376513779,0.0327471420831476,1,0.0327471420831476,1,1,1,TRUE
"187","2_d7","2","d7","Au=0",0,0,0,-0.0647157481274805,0,0,-0.102916529903161,0.878048780487805,0,0.9,FALSE
