"","subject_id","cb","prob0","prob1","prob2","prob3","structure","trialtype","ans","ansVar","ansVar2","node3","isPerm","isCoh","pgroup","isLat","realLat","connectedWith"
"895","kx1dp56kk1",0,"50%","10%","50%","80%","disjunctive","d5",3,"Au","Au=1","Au=1",TRUE,TRUE,"2",TRUE,FALSE,"A"
"896","kx1dp56kk1",0,"10%","70%","80%","50%","disjunctive","d1",4,"Au","Au=0","Au=0",FALSE,TRUE,"3",TRUE,TRUE,"A"
"897","kx1dp56kk1",0,"50%","10%","50%","80%","conjunctive","c2",2,"A","A","A=0",TRUE,TRUE,"2",FALSE,FALSE,"A"
"898","kx1dp56kk1",0,"50%","10%","50%","80%","disjunctive","d2",2,"A","A","A=0",TRUE,TRUE,"2",FALSE,FALSE,"A"
"899","kx1dp56kk1",0,"50%","10%","50%","80%","conjunctive","c4",8,"Bu","Bu=0","Bu=0",TRUE,TRUE,"2",TRUE,TRUE,"B"
"900","kx1dp56kk1",0,"10%","50%","80%","50%","disjunctive","d6",4,"Au","Au=0","Au=0",TRUE,TRUE,"1",TRUE,FALSE,"A"
"901","kxqv9mwcpw",0,"10%","50%","80%","50%","disjunctive","d6",4,"Au","Au=0","Au=0",TRUE,TRUE,"1",TRUE,FALSE,"A"
"902","kxqv9mwcpw",0,"50%","10%","50%","80%","conjunctive","c4",8,"Bu","Bu=0","Bu=0",TRUE,TRUE,"2",TRUE,TRUE,"B"
"903","kxqv9mwcpw",0,"10%","50%","80%","50%","conjunctive","c1",2,"A","A","A=0",TRUE,TRUE,"1",FALSE,FALSE,"A"
"904","kxqv9mwcpw",0,"50%","10%","50%","80%","disjunctive","d4",6,"B","B","B=0",TRUE,TRUE,"2",FALSE,FALSE,"B"
"905","kxqv9mwcpw",0,"10%","70%","80%","50%","disjunctive","d1",6,"B","B","B=0",TRUE,TRUE,"3",FALSE,FALSE,"B"
"906","kxqv9mwcpw",0,"10%","50%","80%","50%","conjunctive","c5",1,"A","A","A=1",TRUE,TRUE,"1",FALSE,FALSE,"A"
"907","kxqv9mwcpw",0,"10%","50%","80%","50%","disjunctive","d3",7,"Bu","Bu=1","Bu=1",TRUE,TRUE,"1",TRUE,FALSE,"B"
"908","kxqv9mwcpw",0,"50%","10%","50%","80%","conjunctive","c2",8,"Bu","Bu=0","Bu=0",TRUE,TRUE,"2",TRUE,TRUE,"B"
"909","ky1q8mlyj1",0,"50%","10%","50%","80%","disjunctive","d3",7,"Bu","Bu=1","Bu=1",TRUE,TRUE,"2",TRUE,FALSE,"B"
"910","ky1q8mlyj1",0,"50%","10%","50%","80%","conjunctive","c4",4,"Au","Au=0","Au=0",TRUE,TRUE,"2",TRUE,TRUE,"A"
"911","ky1q8mlyj1",0,"10%","70%","80%","50%","disjunctive","d5",3,"Au","Au=1","Au=1",TRUE,TRUE,"3",TRUE,FALSE,"A"
"912","ky1q8mlyj1",0,"10%","70%","80%","50%","disjunctive","d4",4,"Au","Au=0","Au=0",TRUE,TRUE,"3",TRUE,FALSE,"A"
"913","l4n1kytgt3",0,"10%","50%","80%","50%","disjunctive","d5",3,"Au","Au=1","Au=1",TRUE,TRUE,"1",TRUE,FALSE,"A"
"914","l4n1kytgt3",0,"50%","10%","50%","80%","disjunctive","d6",8,"Bu","Bu=0","Bu=0",TRUE,TRUE,"2",TRUE,FALSE,"B"
"915","l4n1kytgt3",0,"50%","10%","50%","80%","conjunctive","c3",6,"B","B","B=0",TRUE,TRUE,"2",FALSE,FALSE,"B"
"916","l4n1kytgt3",0,"10%","50%","80%","50%","conjunctive","c4",4,"Au","Au=0","Au=0",TRUE,TRUE,"1",TRUE,TRUE,"A"
"917","l4n1kytgt3",0,"50%","10%","50%","80%","disjunctive","d3",7,"Bu","Bu=1","Bu=1",TRUE,TRUE,"2",TRUE,FALSE,"B"
"918","le17jqsy9b",0,"10%","50%","80%","50%","conjunctive","c1",6,"B","B","B=0",TRUE,TRUE,"1",FALSE,FALSE,"B"
"919","le17jqsy9b",0,"10%","50%","80%","50%","conjunctive","c4",8,"Bu","Bu=0","Bu=0",TRUE,TRUE,"1",TRUE,TRUE,"B"
"920","le17jqsy9b",0,"10%","50%","80%","50%","disjunctive","d2",8,"Bu","Bu=0","Bu=0",TRUE,TRUE,"1",TRUE,FALSE,"B"
"921","le17jqsy9b",0,"50%","10%","50%","80%","disjunctive","d7",3,"Au","Au=1","Au=1",TRUE,TRUE,"2",TRUE,TRUE,"A"
"922","lezdvmtswn",0,"10%","70%","80%","50%","disjunctive","d7",5,"B","B","B=1",TRUE,TRUE,"3",FALSE,FALSE,"B"
"923","lezdvmtswn",0,"50%","10%","50%","80%","disjunctive","d4",4,"Au","Au=0","Au=0",TRUE,TRUE,"2",TRUE,FALSE,"A"
"924","lezdvmtswn",0,"50%","10%","50%","80%","disjunctive","d2",2,"A","A","A=0",TRUE,TRUE,"2",FALSE,FALSE,"A"
"925","lezdvmtswn",0,"50%","10%","50%","80%","disjunctive","d1",2,"A","A","A=0",TRUE,TRUE,"2",FALSE,FALSE,"A"
"926","lezdvmtswn",0,"10%","50%","80%","50%","conjunctive","c5",1,"A","A","A=1",TRUE,TRUE,"1",FALSE,FALSE,"A"
