"","A","Au","B","Bu","E.x","E.y","pA","peA","pB","peB","Pr","PrUn","index","structure","posterior","groupPost","pgroup","mA","mAu","mB","mBu","cfsA","cfaAu","cfsB","cfsBu","Sum","run"
"26",1,1,1,0,1,1,0.1,0.5,0.8,0.5,0.02,0.25,26,"disjunctive",0.333333333333333,7,1,0.689145371851396,0.477761462205151,0.0218651361882499,-0.273393085063259,26709,14931,6014,15281,67742,1
"27",1,1,1,1,0,1,0.1,0.5,0.8,0.5,0.02,0.25,27,"disjunctive",0,6,1,-0.284887776885097,-0.194615184045458,-0.287340153908393,-0.480360413043594,26981,14856,6050,14906,7599,1
"28",1,1,1,1,1,1,0.1,0.5,0.8,0.5,0.02,0.25,28,"disjunctive",0.333333333333333,7,1,0.281012976229264,0.199887052998221,0.289321666783281,0.476933581290795,26793,15070,5891,14878,92548,1
"29",0,0,0,0,0,0,0.9,0.5,0.2,0.5,0.045,0.25,1,"conjunctive",0.25,1,1,0.0602863446878442,0.0249729145354937,0.0187577957445075,0.0250121724397868,2938,14995,23819,14955,99989,1
"30",0,0,0,1,0,0,0.9,0.5,0.2,0.5,0.045,0.25,2,"conjunctive",0.25,1,1,0.163593087243013,0.0679583131822004,0.0504437443750166,-0.0119362456839003,2940,14932,24161,14948,99919,1
"31",0,1,0,0,0,0,0.9,0.5,0.2,0.5,0.045,0.25,3,"conjunctive",0.25,1,1,0.160716309339394,-0.0117873820134422,0.0499802604403636,0.0671795285339533,2970,14947,24041,14907,99921,1
"32",0,1,0,1,0,0,0.9,0.5,0.2,0.5,0.045,0.25,4,"conjunctive",0.25,1,1,0.415461829478254,-0.0308090221336,0.129632130767895,-0.0308066057017987,3022,15000,24247,14998,99465,1
"33",0,0,1,0,0,0,0.9,0.5,0.8,0.5,0.18,0.25,5,"conjunctive",0.25,2,1,0.145591134650035,0.0613325910207965,-0.00646369285732565,0.06166919170395,3066,15127,5866,14987,99933,1
"34",0,0,1,1,0,0,0.9,0.5,0.8,0.5,0.18,0.25,6,"conjunctive",0.25,2,1,0.349216137228678,0.147502432366384,-0.0155456129540432,-0.0259552347463078,3033,14917,5958,15010,99620,1
"35",0,1,1,0,0,0,0.9,0.5,0.8,0.5,0.18,0.25,7,"conjunctive",0.25,2,1,0.335162359493529,-0.024903434538394,-0.0148716244731936,0.14140006171974,3015,15081,5956,14869,99652,1
"36",0,1,1,1,0,0,0.9,0.5,0.8,0.5,0.18,0.25,8,"conjunctive",0.25,2,1,0.815270510970868,-0.0605466598101862,-0.0365421131026852,-0.0612889594175919,3063,14861,5978,15172,97943,1
"37",1,0,0,0,0,0,0.1,0.5,0.2,0.5,0.005,0.25,9,"conjunctive",0.25,3,1,-0.0374211109024819,0.147328351931905,0.108967779253869,0.146117767158655,26853,14947,24314,15158,99620,1
"38",1,0,0,1,0,0,0.1,0.5,0.2,0.5,0.005,0.25,10,"conjunctive",0.25,3,1,-0.0925188163105011,0.361166102759206,0.26848923061281,-0.0631679719981439,27179,14953,24136,14820,97758,1
"39",1,1,0,0,0,0,0.1,0.5,0.2,0.5,0.005,0.25,11,"conjunctive",0.25,3,1,-0.0911351496035169,-0.0629240911053533,0.266374593093868,0.359403656124713,26975,14973,24063,14826,97801,1
"40",1,1,0,1,0,0,0.1,0.5,0.2,0.5,0.005,0.25,12,"conjunctive",0.25,3,1,-0.232965467082366,-0.161118990558569,0.682453927328699,-0.160751203200875,26863,14943,24085,14885,87126,1
"41",1,0,1,0,0,0,0.1,0.5,0.8,0.5,0.02,0.25,13,"conjunctive",0.333333333333333,4,1,-0.0759779902201602,0.295955005074516,-0.0316353584923433,0.297941901996937,26997,15126,6025,14955,98463,1
"42",1,0,1,0,1,0,0.1,0.5,0.8,0.5,0.02,0.25,14,"conjunctive",0,5,1,0.0743224371141943,-0.290771267992036,0.0309067194719075,-0.293264606560601,27075,14964,6033,14748,1466,1
"43",1,0,1,1,0,0,0.1,0.5,0.8,0.5,0.02,0.25,15,"conjunctive",0.333333333333333,4,1,-0.188000139370862,0.731131779034194,-0.0777368605041108,-0.129706604907265,27198,15037,6004,15098,91357,1
"44",1,0,1,1,1,0,0.1,0.5,0.8,0.5,0.02,0.25,16,"conjunctive",0,5,1,0.189799141473545,-0.739914664187368,0.0782327257427481,0.12976978306231,27239,14949,5980,14894,8778,1
"45",1,1,1,0,0,0,0.1,0.5,0.8,0.5,0.02,0.25,17,"conjunctive",0.333333333333333,4,1,-0.185694571836219,-0.128049126871167,-0.0778061945177002,0.727869334277153,27081,15009,6121,14912,91504,1
"46",1,1,1,0,1,0,0.1,0.5,0.8,0.5,0.02,0.25,18,"conjunctive",0,5,1,0.189170675050663,0.130836840571071,0.0787440459124242,-0.738716148536156,27088,15090,6048,15003,8786,1
